CONTROL_NUMBER,TARGET_B
61745,1
112703,1
166437,0
170621,0
44428,0
80221,0
171942,0
29567,0
37885,0
81374,0
144020,0
38273,0
55077,0
135265,1
171029,0
157422,0
3160,0
31879,1
186388,1
21878,0
6675,0
172329,0
187956,0
131400,0
152029,0
25743,0
138262,1
27419,1
167790,0
36907,0
32911,0
153026,1
136572,0
107279,1
92301,0
185248,0
107397,0
132131,1
176807,0
18640,0
124985,0
66891,1
87947,0
63257,0
112521,0
75194,0
42021,0
68472,0
13863,1
180817,0
156200,0
87417,0
38924,1
178577,0
142814,0
68120,1
177802,0
172192,0
174053,0
168317,1
120657,0
172053,0
172702,1
68687,1
188131,0
38243,0
2334,0
54101,0
50072,0
65123,0
183311,0
46905,0
44657,1
113700,0
125601,0
135888,1
98936,0
191430,0
52672,0
21761,0
1298,0
185397,0
165451,0
147313,0
32091,0
149046,0
81073,1
146693,0
32986,0
10594,0
144143,0
182398,0
785,1
33383,1
35181,1
180948,0
129715,0
42501,1
163412,1
147717,0
177224,0
191131,0
146984,0
82367,0
46203,1
69861,0
114438,1
117495,0
985,0
111673,0
170701,0
140492,0
104214,1
97334,0
190408,1
177694,0
26946,1
3319,0
51782,0
87184,0
116986,0
79968,0
16360,0
188343,0
111233,0
137846,0
73238,1
101602,0
186153,1
137925,0
175708,1
2809,1
77120,0
36595,0
128121,1
2168,0
99209,1
152075,0
25963,0
34743,0
184537,0
22050,0
8272,1
112167,0
117726,1
144252,0
186684,0
156174,1
71794,0
18222,0
187447,0
146580,0
79118,0
32224,0
36170,0
121640,1
90013,0
50695,0
127170,0
58178,0
62629,0
151766,1
13133,0
18953,1
3608,1
175811,0
83891,0
38788,0
134516,0
180428,1
140723,1
72437,0
12236,0
154172,0
152133,1
127010,0
103082,0
49698,0
170708,0
74418,0
18061,0
156695,0
38580,1
166466,0
65536,0
115874,0
118102,0
56990,0
162740,1
110769,0
143080,0
31953,1
15052,0
87353,0
112072,0
179023,1
81284,1
53212,0
188869,0
59225,1
179936,0
15763,0
2431,0
38217,0
8880,1
137688,0
79733,0
18498,0
45857,0
54441,1
89716,0
145919,0
149498,1
7296,0
88638,0
147614,0
24391,1
167317,0
13394,1
5822,1
130452,0
4082,0
129262,0
29540,0
52310,0
130493,0
8048,0
100736,0
186016,1
9553,0
65139,0
161312,0
41273,0
104587,0
44418,0
123672,0
166025,0
17608,0
183924,0
84264,0
159208,0
52116,1
68242,0
78312,1
18182,0
56337,1
45351,1
71943,1
115115,0
102270,0
85230,0
109941,0
74122,0
26192,0
3155,0
48077,0
30334,0
157058,0
40699,0
78748,0
12568,0
30433,1
1970,0
57268,0
127971,0
159143,0
40845,0
122802,0
169716,0
14875,0
87706,1
94459,0
138407,0
114851,0
87210,1
83580,0
63739,0
24996,0
10158,0
51485,0
53213,1
190976,1
154611,1
61055,0
130293,0
57238,0
20209,0
124754,0
189373,1
39155,0
74689,0
90167,0
79924,0
170095,0
141847,0
341,1
84579,0
65652,0
171651,0
151129,0
164296,1
65334,0
122393,0
144559,0
87572,0
184067,0
118006,0
100858,0
48314,1
39816,0
37481,0
31367,0
90970,0
40820,0
152893,0
135958,0
185753,0
12622,0
114314,0
185525,1
52161,1
147305,1
28593,0
26646,0
98191,1
107388,0
1889,0
126961,1
21244,1
51418,0
2855,0
39569,0
170456,0
34801,0
154407,0
95180,0
95163,0
101264,1
59628,0
161664,0
187882,0
96907,0
69936,0
168574,1
99685,0
176174,0
49457,0
145982,1
35463,1
46256,0
125934,0
110491,0
151698,1
37569,0
189081,0
110291,1
94677,0
178388,0
49089,0
94395,0
100489,0
107389,0
173811,0
64884,0
130099,0
30444,0
47418,0
96960,1
124946,0
80467,0
68750,1
22520,1
135610,0
167139,0
145701,0
172530,1
148952,0
144327,0
96826,0
62693,0
126494,0
190201,0
53609,0
37768,0
143817,0
110074,0
132006,0
127360,0
23491,1
128806,0
109683,1
111168,0
174520,0
66061,0
161082,0
113692,1
181446,0
107593,0
17245,0
68848,0
72009,0
161142,0
65365,0
23165,0
57089,0
14504,0
95579,0
189414,0
113767,0
24198,0
19260,1
135742,0
20728,0
97774,1
128720,0
78253,0
20533,1
120701,0
164306,1
28681,1
51394,0
123519,0
66508,0
68240,1
129351,0
139340,0
54076,0
40786,1
111255,0
182395,1
153849,0
23109,0
155472,0
110131,0
47997,0
183790,1
28892,0
173132,1
134937,0
59219,0
110633,0
60943,0
184901,0
29499,0
54851,0
108760,1
52443,0
135624,0
173338,0
